FID,Long,Lat,SC
445,377842.4611,6379122.849,M1
446,373007.7048,6390575.426,M1
447,376717.3845,6379973.846,M1
448,376326.7322,6382288.69,M1
449,374619.9097,6385659.274,M1
450,376386.884,6391119.078,M1
451,376364.3849,6381598.35,M1
452,373890.0224,6388930.016,M1
453,378792.6293,6377228.401,M1
454,377663.0888,6379302.491,M1
455,374163.1766,6388772.687,M1
456,378545.2184,6376462.495,M1
457,374355.0189,6386871.227,M1
458,373082.8704,6391165.733,M1
459,374009.6919,6389632.317,M1
460,377265.7742,6380202.404,M1
461,379683.4302,6392080.812,M1
462,374112.9105,6388518.128,M1
463,374070.9714,6389164.052,M1
464,377737.7595,6376892.79,M1
465,375900.4149,6383164.908,M1
466,379851.9617,6391881.04,AM2
467,378663.9849,6393792.668,AM2
468,379288.5096,6396566.71,AM2
469,374223.8291,6391253.924,AM2
470,373158.7407,6391096.286,AM2
471,376798.1908,6380563.643,AM2
472,371531.6792,6392092.275,AM2
473,371440.7692,6392227.492,AM2
474,375194.7975,6384096.378,AM2
475,378839.1682,6393744.9,AM2
476,378708.9355,6392565.76,AM2
477,379608.0739,6399504.449,AM2
478,376187.1004,6391941.566,AM2
479,373183.4339,6391073.315,AM2
480,373083.0376,6391145.221,AM2
481,373194.3296,6391249.759,AM2
482,373795.4844,6389208.248,AM2
483,375883.9078,6382008.179,AM2
484,374163.1766,6388772.687,AM2
485,372876.2796,6391241.275,AM2
486,376109.95,6392183.441,AM2
487,379579.3887,6392224.81,AM2
488,378851.7984,6394792.878,AM2
489,382122.5153,6394007.078,AM2
490,377508.5411,6392863.783,AM2
491,379614.2794,6394156.774,AM2
492,374290.3208,6391041.866,AM2
493,375172.3918,6384985.389,AM2
494,374165.6689,6387906.714,AM2
495,378869.7271,6400752.914,AM2
496,377814.1483,6393662.551,AM2
497,379640.4915,6398761.945,AM2
498,374070.9714,6389164.052,AM2
499,375531.0173,6385033.125,AM2
500,382213.069,6393890.615,AM2
501,380684.961,6393957.846,AM2
502,378805.4661,6395903.341,AM2
503,382562.967,6392475.481,AM2
504,382474.8565,6391907.849,AM2
505,372808.6146,6390586.195,AM2
506,374111.9799,6387478.022,AM2
507,372181.75,6391682.59,AM2
508,377842.4611,6379122.849,AM2
509,382587.4298,6392709.725,AM2
510,379065.6365,6400554.591,AM2
511,375900.4149,6383164.908,AM2
512,375527.7458,6384095.005,AM2
513,374355.0189,6386871.227,AM2
514,374009.6919,6389632.317,AM2
515,373082.8704,6391165.733,AM2
516,371905.0577,6391887.504,AM2
517,372001.091,6391791.158,AM2
518,377663.0888,6379302.491,M1
519,374111.9799,6387478.022,M1
520,378528.8389,6374662.644,M1
521,378545.2184,6376462.495,M1
522,382320.6986,6392564.657,M1
523,376750.5807,6381832.676,M1
524,376139.5158,6391465.289,M1
525,375527.5403,6382987.269,M1
526,378806.4286,6377940.443,M1
527,374009.6919,6389632.317,M1
528,377053.6853,6380068.938,M1
529,382450.3482,6390404.03,M1
530,374558.6575,6386724.101,M1
531,376717.3845,6379973.846,M1
532,376364.3849,6381598.35,M1
533,374985.9841,6384742.43,M1
534,375746.9565,6383588.787,M1
535,377073.6202,6392814.083,M1
536,374355.0189,6386871.227,M1
537,373994.4235,6390246.421,M1
538,377208.1439,6379252.524,M1
539,376326.7322,6382288.69,M1
540,376004.4976,6382864.601,M1
541,374619.9097,6385659.274,M1
542,376364.3849,6381598.35,M1
543,376534.9639,6382660.521,M1
544,377114.6571,6377793.239,M1
545,375696.0752,6382482.635,M1
546,377506.7829,6379207.422,M1
547,376750.5807,6381832.676,M1
548,376872.4719,6379789.484,M1
549,377502.8165,6379377.026,M1
550,373082.8704,6391165.733,M1
551,374163.1766,6388772.687,M1
552,377261.4449,6378732.027,M1
553,375527.7458,6384095.005,M1
554,375981.0394,6383016.22,M1
555,377313.302,6380528.989,M1
556,377842.4611,6379122.849,M1
557,377265.7742,6380202.404,M1
558,377737.7595,6376892.79,M1
559,374009.6919,6389632.317,M1
560,375527.5403,6382987.269,M1
561,379683.4302,6392080.812,M1
562,374112.9105,6388518.128,M1
563,378792.6293,6377228.401,M1
587,375807.5725,6382489.573,M1
588,377567.4132,6377711.234,M1
589,374112.9105,6388518.128,M1
590,376489.43,6380438.947,M1
591,377265.7742,6380202.404,M1
592,377313.302,6380528.989,M1
593,377208.1439,6379252.524,M1
594,377872.3634,6378977.959,M1
595,376364.3849,6381598.35,M1
596,376750.5807,6381832.676,M1
597,376872.4719,6379789.484,M1
598,377737.7595,6376892.79,M1
599,376717.3845,6379973.846,M1
600,376566.0414,6380233.654,M1
601,377842.4611,6379122.849,M1
602,377872.3634,6378977.959,M1
603,377261.4449,6378732.027,M1
604,374355.0189,6386871.227,M1
605,378562.5212,6378418.698,M1
606,378545.2184,6376462.495,M1
607,376386.884,6391119.078,M1
608,375527.5403,6382987.269,M1
609,378792.6293,6377228.401,M1
610,383115.2375,6394687.351,M1
611,382185.0159,6393881.414,M2
612,379665.0458,6397346.304,M2
613,383054.6425,6394971.6,M2
614,379933.1495,6391919.716,M2
615,378751.7066,6391209.092,M2
616,376872.4719,6379789.484,M2
617,383526.8832,6395131.24,M2
618,375172.9576,6386511.161,M2
619,381819.2037,6392588.667,M2
620,381404.3172,6392827.681,M2
621,381229.2894,6392549.508,M2
622,382375.6318,6393717.342,M2
623,382728.9433,6394965.563,M2
624,383216.1412,6395049.996,M2
625,376567.1948,6392019.459,M2
626,380939.606,6392678.003,M2
627,376788.6741,6392401.414,M2
628,378156.9402,6390268.219,M2
629,382931.8722,6395033.363,M2
630,381117.8038,6391350.673,M2
631,380928.5524,6393053.755,M2
632,377053.6853,6380068.938,M2
633,377506.7829,6379207.422,M2
634,379683.4302,6392080.812,M2
635,378822.0013,6400582.689,AM1
636,374976.1144,6385154.796,AM1
637,375020.3614,6384992.352,AM1
638,377446.4538,6392569.184,AM1
639,379585.9368,6399704.875,AM1
640,377757.3669,6392014.154,AM1
641,377066.5712,6378800.582,AM1
642,372539.6849,6391435.462,AM1
643,379065.209,6401367.334,AM1
644,379594.9579,6399579.689,AM1
645,381117.8038,6391350.673,AM1
646,373432.8085,6389541.846,AM1
647,373784.885,6388785.645,AM1
648,373490.0938,6390277.735,AM1
649,378792.6293,6377228.401,AM1
650,378562.5212,6378418.698,AM1
651,379716.6611,6393372.973,AM1
652,377252.8338,6393735.499,AM1
653,379123.2855,6396330.755,AM1
654,379609.169,6398789.288,AM1
655,374110.3623,6388497.027,AM1
656,373194.3619,6391025.773,AM1
657,376112.6873,6391887.419,AM1
658,374837.5111,6387301.989,AM1
659,375992.9367,6384017.651,AM1
660,376092.0892,6391581.127,AM1
661,374973.0445,6386743.727,AM1
662,371619.4687,6392053.487,AM1
663,377892.3061,6392798.631,AM1
664,371855.2557,6391804.255,AM1
665,372993.5438,6391031.534,AM1
666,379679.0896,6397349.799,AM1
667,371672.635,6392006.49,AM1
668,372860.6327,6391143.497,AM1
669,381445.7873,6393524.5,AM1
670,379942.2,6391947.546,AM1
671,373216.248,6391075.95,AM1
672,379609.3303,6399009.941,AM1
673,374112.9105,6388518.128,AM1
674,374971.6435,6386332.33,AM1
675,376187.1004,6391941.566,AM1
676,374476.083,6391866.961,AM1
677,374055.8054,6391181.947,AM1
678,372864.2363,6391228.924,AM1
679,376364.3849,6381598.35,AM1
680,375981.0394,6383016.22,AM1
681,378851.7984,6394792.878,AM1
682,379546.7743,6393994.074,AM1
683,374022.2862,6389007.09,AM1
684,377842.4611,6379122.849,AM1
685,371714.0144,6391927.185,AM1
686,375807.5725,6382489.573,AM1
687,374355.0189,6386871.227,AM1
688,383115.2375,6394687.351,AM1
689,379683.4302,6392080.812,AM1
690,371905.0577,6391887.504,AM1
691,375900.4149,6383164.908,AM1
692,379594.9579,6399579.689,AM1
693,379609.169,6398789.288,AM1
694,373432.8085,6389541.846,AM1
695,372961.1139,6391212.417,AM1
696,383489.4515,6395120.825,AM1
697,379716.6611,6393372.973,AM1
698,374476.083,6391866.961,AM1
699,375139.8975,6386080.517,AM1
700,378949.5694,6394781.867,AM1
701,379650.7646,6398922.844,AM1
702,372864.2363,6391228.924,AM1
703,377492.809,6379504.419,AM1
704,375522.6492,6385402.265,AM1
705,373890.0224,6388930.016,AM1
706,373250.6767,6390139.416,AM1
707,379065.209,6401367.334,AM1
708,371672.635,6392006.49,AM1
709,378156.9402,6390268.219,AM1
710,378129.2495,6396226.649,AM1
711,378247.5472,6392378.296,AM1
712,376917.0217,6392268.83,AM1
713,374022.2862,6389007.09,AM1
714,376567.1948,6392019.459,AM1
715,375172.9576,6386511.161,AM1
716,378792.6293,6377228.401,AM1
717,379123.2855,6396330.755,AM1
718,374110.3623,6388497.027,AM1
719,373194.3619,6391025.773,AM1
720,379697.1095,6398661.726,AM1
721,379526.5528,6396682.681,AM1
722,374946.9823,6386802.168,AM1
723,377252.8338,6393735.499,AM1
724,381117.8038,6391350.673,AM1
725,374112.9105,6388518.128,AM1
726,377446.4538,6392569.184,AM1
727,372993.5438,6391031.534,AM1
728,373795.4844,6389208.248,AM1
729,371619.4687,6392053.487,AM1
730,377508.5411,6392863.783,AM1
731,374971.6435,6386332.33,AM1
732,373216.248,6391075.95,AM1
733,377892.3061,6392798.631,AM1
734,377335.0099,6390259.25,AM1
735,373007.7048,6390575.426,AM1
736,374055.8054,6391181.947,AM1
737,378562.5212,6378418.698,AM1
738,377842.4611,6379122.849,AM1
739,374355.0189,6386871.227,AM1
740,375981.0394,6383016.22,AM1
741,379609.3303,6399009.941,AM1
742,379683.4302,6392080.812,AM1
743,383115.2375,6394687.351,AM1
744,373750.3174,6388699.826,JM
745,378613.5117,6395396.503,JM
746,373958.5417,6390635.17,JM
747,375392.1506,6384288.464,JM
748,374169.785,6388546.567,JM
749,375350.5352,6385214.934,JM
750,374112.9105,6388518.128,JM
751,374947.5169,6386012.68,JM
752,374478.0594,6387090.112,JM
753,375900.4149,6383164.908,JM
754,373652.2569,6389403.807,JM
755,378901.9028,6400655.729,JM
756,373107.9494,6391031.327,JM
757,373353.7085,6390671.86,JM
758,371890.2174,6391654.456,JM
759,379694.6979,6398706.048,JM
760,371868.2292,6391853.766,JM
761,375997.4604,6392172.064,JM
762,371557.0459,6392090.384,JM
763,379744.0198,6397104.427,JM
764,373007.7048,6390575.426,JM
765,375044.3973,6386739.078,JM
766,378559.054,6392310.019,JM
767,379167.4415,6400291.927,JM
768,373194.3296,6391249.759,JM
769,373082.8704,6391165.733,JM
770,373120.5785,6391071.406,JM
771,372906.512,6390415.572,JM
772,377261.4449,6378732.027,JM
773,373183.4339,6391073.315,JM
774,378845.3075,6400597.386,JM
775,377842.4611,6379122.849,JM
776,375527.7458,6384095.005,JM
777,381663.8954,6395239.069,AF1
778,379392.0816,6394210.642,AF1
779,379114.0856,6401598.554,AF1
780,379720.1478,6398542.252,AF1
781,379352.6316,6394134.766,AF1
782,379090.1606,6400390.785,AF1
783,379633.016,6398056.659,AF1
784,378905.633,6400735.607,AF1
785,379159.9528,6400212.003,AF1
786,379517.3735,6398067.463,AF1
787,379643.4758,6399060.247,AF1
788,379000.1715,6400452.899,AF1
789,378847.9503,6400689.448,AF1
790,379065.6365,6400554.591,AF1
791,379025.1282,6400486.464,AF1
792,378822.1221,6400572.712,AF1
793,378936.0375,6400707.146,AF1
794,378869.3114,6400632.049,AF1
795,378774.3424,6400562.154,AF1
796,379876.7998,6398479.825,AF1
797,379025.1282,6400486.464,AF1
798,379548.6327,6397889.323,AF1
799,379723.0659,6397675.207,AF1
800,380928.5524,6393053.755,AF1
801,382576.8239,6392334.827,AF1
802,376917.0217,6392268.83,AF1
803,379022.4408,6401174.995,AF1
804,382345.7129,6391796.556,AF1
805,378914.7036,6399753.321,AF1
806,379733.5287,6398444.839,AF1
807,379248.6174,6399948.071,AF1
808,379117.0328,6400265.815,AF1
809,379611.0915,6399487.853,AF1
810,379609.01,6399036.548,AF1
811,379108.3251,6401453.232,AF1
812,379065.6365,6400554.591,AF1
813,379167.4415,6400291.927,AF1
814,379625.4524,6396891.219,AF1
815,378847.9503,6400689.448,AF1
816,378998.1195,6400544.904,AF1
817,379114.0856,6401598.554,AF1
818,379585.3546,6399831.271,AF1
819,379649.7823,6399472.796,AF1
820,379635.4767,6399412.749,AF1
